Age Group ;Female;Male;Total 
Total;18 980 357;17 773 379;36 753 736
Less than 1 year;146 038;153 500;299 538
1 year;162 160;170 830;332 990
2 years;171 144;180 236;351 380
3 years;181 386;191 520;372 906
4 years;188 763;199 927;388 690
5 years;197 585;208 587;406 172
6 years;189 160;199 480;388 640
7 years;183 872;194 105;377 977
8 years;184 490;194 752;379 242
9 years;180 743;190 499;371 242
10 years;188 727;199 872;388 599
11 years;187 512;198 492;386 004
12 years;198 226;209 671;407 897
13 years;200 687;210 578;411 265
14 years;198 010;207 787;405 797
15 years;184 664;194 224;378 888
16 years;175 517;184 484;360 001
17 years;168 507;177 169;345 676
18 years;162 518;171 600;334 118
19 years;161 194;168 518;329 712
20 years;167 547;175 164;342 711
21 years;174 609;181 868;356 477
22 years;179 195;186 875;366 070
23 years;180 321;188 016;368 337
24 years;185 230;194 148;379 378
25 years;193 447;201 996;395 443
26 years;200 041;209 843;409 884
27 years;205 566;214 398;419 964
28 years;217 242;226 183;443 425
29 years;224 468;235 711;460 179
30 years;232 849;243 719;476 568
31 years;245 639;258 342;503 981
32 years;251 455;263 802;515 257
33 years;253 059;265 062;518 121
34 years;260 675;271 241;531 916
35 years;264 030;276 110;540 140
36 years;276 391;287 364;563 755
37 years;292 454;304 086;596 540
38 years;301 035;313 192;614 227
39 years;310 153;320 797;630 950
40 years;299 996;311 330;611 326
41 years;288 565;297 067;585 632
42 years;295 058;301 710;596 768
43 years;293 262;300 987;594 249
44 years;287 238;292 162;579 400
45 years;285 429;290 105;575 534
46 years;287 470;290 148;577 618
47 years;277 758;280 213;557 971
48 years;267 479;269 724;537 203
49 years;257 426;257 914;515 340
50 years;247 822;247 825;495 647
51 years;238 415;235 807;474 222
52 years;230 326;228 027;458 353
53 years;222 682;217 826;440 508
54 years;218 034;212 924;430 958
55 years;215 757;209 254;425 011
56 years;217 098;208 198;425 296
57 years;219 412;209 170;428 582
58 years;224 235;211 769;436 004
59 years;229 640;213 313;442 953
60 years;231 453;212 772;444 225
61 years;239 817;216 917;456 734
62 years;254 142;225 234;479 376
63 years;269 939;235 889;505 828
64 years;278 234;239 821;518 055
65 years;282 360;238 626;520 986
66 years;278 501;231 759;510 260
67 years;279 656;228 342;507 998
68 years;267 499;213 261;480 760
69 years;264 171;205 970;470 141
70 years;257 335;196 232;453 567
71 years;251 557;185 862;437 419
72 years;236 427;172 895;409 322
73 years;223 233;158 533;381 766
74 years;212 497;148 567;361 064
75 years;195 268;132 207;327 475
76 years;173 999;113 917;287 916
77 years;122 341;77 390;199 731
78 years;118 528;71 622;190 150
79 years;111 431;65 681;177 112
80 years;106 037;59 856;165 893
81 years;109 123;58 849;167 972
82 years;109 766;56 284;166 050
83 years;104 636;50 965;155 601
84 years;97 807;45 832;143 639
85 years;91 317;41 114;132 431
86 years;84 749;36 127;120 876
87 years;74 544;30 634;105 178
88 years;64 056;25 218;89 274
89 years;54 437;20 809;75 246
90 years;48 328;17 400;65 728
91 years;40 240;13 991;54 231
92 years;32 939;10 940;43 879
93 years;24 293;7 741;32 034
94 years;18 607;5 639;24 246
95 years;13 040;3 697;16 737
96 years;9 368;2 453;11 821
97 years;7 064;1 767;8 831
98 years;4 545;1 121;5 666
99 years;3 148;874;4 022
100 years;4 514;1 350;5 864